




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (471)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of protein metabolic process (GO:0051246)	2665	32	60.95	-	.53	2.63E-05	6.49E-03
regulation of immune system process (GO:0002682)	1717	16	39.27	-	.41	2.78E-05	6.75E-03
cell surface receptor signaling pathway (GO:0007166)	2495	29	57.06	-	.51	2.83E-05	6.78E-03
cellular aromatic compound metabolic process (GO:0006725)	2937	37	67.17	-	.55	3.06E-05	7.22E-03
protein modification process (GO:0036211)	2985	38	68.27	-	.56	3.45E-05	7.80E-03
cellular protein modification process (GO:0006464)	2985	38	68.27	-	.56	3.45E-05	7.91E-03
cellular component biogenesis (GO:0044085)	2754	34	62.98	-	.54	3.45E-05	8.02E-03
response to external stimulus (GO:0009605)	2525	30	57.75	-	.52	4.25E-05	9.47E-03
establishment of localization in cell (GO:0051649)	2335	27	53.40	-	.51	4.51E-05	9.91E-03
gene expression (GO:0010467)	2117	24	48.42	-	.50	1.03E-04	2.21E-02
regulation of cellular protein metabolic process (GO:0032268)	2501	31	57.20	-	.54	1.02E-04	2.21E-02
macromolecule biosynthetic process (GO:0009059)	1680	17	38.42	-	.44	1.06E-04	2.24E-02
cellular component assembly (GO:0022607)	2494	31	57.04	-	.54	1.31E-04	2.70E-02
organic substance transport (GO:0071702)	2079	24	47.55	-	.50	1.31E-04	2.73E-02
regulation of localization (GO:0032879)	2753	36	62.96	-	.57	1.46E-04	2.95E-02
regulation of biological quality (GO:0065008)	3995	60	91.36	-	.66	1.87E-04	3.66E-02
cellular macromolecule biosynthetic process (GO:0034645)	1639	17	37.48	-	.45	1.83E-04	3.67E-02
organic cyclic compound biosynthetic process (GO:1901362)	1196	10	27.35	-	.37	1.86E-04	3.68E-02
negative regulation of response to stimulus (GO:0048585)	1831	20	41.87	-	.48	1.91E-04	3.69E-02
anatomical structure morphogenesis (GO:0009653)	2158	26	49.35	-	.53	2.26E-04	4.31E-02
macromolecule localization (GO:0033036)	2496	32	57.08	-	.56	2.38E-04	4.47E-02
regulation of immune response (GO:0050776)	1183	10	27.05	-	.37	2.51E-04	4.66E-02
regulation of catalytic activity (GO:0050790)	2433	31	55.64	-	.56	2.68E-04	4.93E-02
